FX,Tenor,"ATM Bid","ATM Ask","25dRR Bid","25dRR Ask","25dFly Bid","25dFly Ask","10dRR Bid","10dRR Ask","10dFly Bid","10dFly Ask",Time
EURBRL,1d,13.60698,15.38181,0.00,2.2,0.032,0.032,0.00,3.96,0.12800,0.12800,"2018-02-13 10:20:56"
EURBRL,1w,11.50000,13.00000,1.00,2.0,0.231,0.231,1.80,3.60,0.92400,0.92400,"2018-02-13 10:20:56"
EURBRL,1m,11.40000,12.10000,1.50,2.5,0.435,0.435,2.70,4.50,1.69650,1.69650,"2018-02-13 10:20:56"
EURBRL,2m,11.40000,12.20000,2.00,2.5,0.454,0.454,3.60,4.50,1.81600,1.81600,"2018-02-13 10:20:56"
EURBRL,3m,11.50000,12.50000,2.00,3.0,0.526,0.526,3.60,5.40,2.10400,2.10400,"2018-02-13 10:20:56"
EURBRL,6m,12.20000,12.80000,2.75,3.5,0.622,0.622,4.95,6.30,2.48800,2.48800,"2018-02-13 10:20:56"
EURBRL,9m,13.40000,14.20000,2.80,3.8,0.708,0.708,5.04,6.84,3.00900,3.00900,"2018-02-13 10:20:56"
EURBRL,1y,13.40000,14.30000,3.20,4.0,0.803,0.803,5.76,7.20,3.41275,3.41275,"2018-02-13 10:20:56"
EURBRL,2y,13.95000,14.75000,3.00,4.0,1.138,1.138,5.40,7.20,4.83650,4.83650,"2018-02-13 10:20:56"
EURBRL,3y,14.30000,16.00000,3.50,4.5,1.422,1.422,6.30,8.10,6.18570,6.18570,"2018-02-13 10:20:56"
EURMXN,1d,13.01538,15.38181,0.00,1.25,0.150,0.150,0.0000," 2.2500",0.5700000,0.57000,"2018-02-13 10:20:56"
EURMXN,1w,11.00000,13.00000,0.50,1.25,0.154,0.150,0.9000," 2.2500",0.5852001,0.57000,"2018-02-13 10:20:56"
EURMXN,1m,11.70000,12.15000,1.75,2.05,0.275,0.425,3.1500," 3.6900",1.0862500,1.67875,"2018-02-13 10:20:56"
EURMXN,2m,11.80000,12.10000,1.75,2.20,0.275,0.425,3.1500," 3.9600",1.0862500,1.67875,"2018-02-13 10:20:56"
EURMXN,3m,11.80000,12.25000,1.85,2.20,0.275,0.450,3.3300," 3.9600",1.0450000,1.71000,"2018-02-13 10:20:56"
EURMXN,6m,14.32000,14.80000,3.50,4.00,0.250,0.475,6.3000," 7.2000",0.9875000,1.87625,"2018-02-13 10:20:56"
EURMXN,9m,13.70000,14.20000,3.50,4.00,0.425,0.550,6.3000," 7.2000",1.6787500,2.17250,"2018-02-13 10:20:56"
