Fecha,"EURBRL Curncy PX_LAST","EURBRL Curncy PX_LOW","EURBRL Curncy PX_HIGH","EURBRL Curncy PX_OPEN","EURBRLV1W Curncy PX_LAST","EURBRLV1M Curncy PX_LAST","EURBRLV2M Curncy PX_LAST","EURBRLV3M Curncy PX_LAST","EURBRLV6M Curncy PX_LAST","EURBRLV9M Curncy PX_LAST","EURBRLV1Y Curncy PX_LAST","EURBRL25R1W Curncy PX_LAST","EURBRL25R1M Curncy PX_LAST","EURBRL25R2M Curncy PX_LAST","EURBRL25R3M Curncy PX_LAST","EURBRL25R6M Curncy PX_LAST","EURBRL25R9M Curncy PX_LAST","EURBRL25R1Y Curncy PX_LAST","EURBRL25B1W Curncy PX_LAST","EURBRL25B1M Curncy PX_LAST","EURBRL25B2M Curncy PX_LAST","EURBRL25B3M Curncy PX_LAST","EURBRL25B6M Curncy PX_LAST","EURBRL25B9M Curncy PX_LAST","EURBRL25B1Y Curncy PX_LAST","EURBRL10R1W Curncy PX_LAST","EURBRL10R1M Curncy PX_LAST","EURBRL10R2M Curncy PX_LAST","EURBRL10R3M Curncy PX_LAST","EURBRL10R6M Curncy PX_LAST","EURBRL10R9M Curncy PX_LAST","EURBRL10R1Y Curncy PX_LAST","EURBRL10B1W Curncy PX_LAST","EURBRL10B1M Curncy PX_LAST","EURBRL10B2M Curncy PX_LAST","EURBRL10B3M Curncy PX_LAST","EURBRL10B6M Curncy PX_LAST","EURBRL10B9M Curncy PX_LAST","EURBRL10B1Y Curncy PX_LAST","EURBRL1W Curncy PX_LAST","EURBRL1M Curncy PX_LAST","EURBRL2M Curncy PX_LAST","EURBRL3M Curncy PX_LAST","EURBRL6M Curncy PX_LAST","EURBRL9M Curncy PX_LAST","EURBRL12M Curncy PX_LAST"
2010-01-04,2.4789,2.4764,2.5087,2.5079,8.715,10.305,11.095,12.01,13.005,14.1525,14.993,3.1,2.6925,3.635,5.185,7.15,7.2775,7.4625,0.73,0.7925,0.8775,1.025,1.2325,1.3675,1.5425,5.425,4.96,6.7325,9.79,13.8025,14.1125,14.325,2.405,2.58,2.8,3.17,3.6725,4.1275,4.6675,35.4,166.9,295.45,442.95,926.65,1487.55,2051.1
2010-01-05,2.4873,2.4765,2.4966,2.48,8.56,10.22,11,11.773,12.68,13.8225,14.818,3.1,2.5125,3.56,4.9375,7.2325,7.4,7.625,0.73,0.79,0.875,1.015,1.2325,1.3675,1.55,5.425,4.6275,6.5925,9.325,13.96,14.3475,14.6425,2.405,2.575,2.795,3.16,3.6725,4.1275,4.675,33.75,153.5,282.15,438.2,924.25,1476.95,2052.95
2010-01-06,2.4939,2.4839,2.5034,2.4868,9.4,10.43,11.34,12.215,13.198,14.3225,15.15,3.1,2.4375,3.3825,4.7575,6.7575,6.98,7.26,0.735,0.79,0.875,1.015,1.22,1.3525,1.5325,5.425,4.485,6.2675,8.9875,13.045,13.54,13.94,2.41,2.575,2.795,3.16,3.6575,4.1125,4.6575,32.35,142.15,267.85,430.25,914.95,1470.6,2016.9
2010-01-07,2.5022,2.4833,2.5061,2.4861,9.45,10.57,11.535,12.45,13.323,14.4675,15.313,2.45,2.1875,3.125,4.19,6.1675,6.39,6.61,0.73,0.79,0.87,1.0025,1.1975,1.3275,1.495,4.2875,4.03,5.7875,7.9175,11.915,12.3975,12.6925,2.405,2.575,2.79,3.1475,3.635,4.0825,4.62,39.8,154,280.3,431.45,917.05,1463.65,1998.65
2010-01-08,2.4884,2.4806,2.5059,2.4981,8.385,9.995,10.87,11.67,12.818,13.9725,14.828,2.325,2.1975,3.1875,4.23,6.2275,6.35,6.52,0.73,0.785,0.87,1,1.1925,1.3125,1.4775,4.0675,4.05,5.9025,7.99,12.0225,12.315,12.5175,2.405,2.575,2.79,3.1425,3.63,4.07,4.6025,36.55,162.15,287.65,431.4,908.35,1446.2,1991.85
2010-01-11,2.5221,2.4929,2.5262,2.502,8.63,10.04,10.775,11.58,12.738,13.9975,14.915,2.325,2.1975,3.165,4.175,6.1375,6.205,6.3175,0.73,0.785,0.8675,0.995,1.1875,1.3075,1.465,4.07,4.05,5.8625,7.8875,11.85,12.035,12.1275,2.405,2.575,2.79,3.14,3.625,4.0625,4.5925,32.3,160.2,288.25,435.05,918.25,1460.15,2033.6
2010-01-12,2.535,2.5164,2.5351,2.52,8.71,9.825,10.755,11.54,12.775,14.0775,15.102,2.325,2.1975,3.165,4.175,6.1375,6.205,6.3175,0.73,0.785,0.8675,0.995,1.1875,1.3075,1.47,4.07,4.05,5.8625,7.8875,11.85,12.035,12.1275,2.405,2.5725,2.79,3.14,3.6275,4.0625,4.595,32.3,155.8,288.6,445.25,939.35,1490.85,2075.8
2010-01-13,2.5497,2.5256,2.5539,2.5379,9.35,10.36,10.91,11.495,12.95,14.1725,15.14,1.575,1.8875,2.9325,4.1,5.9475,6.11,6.3725,0.68,0.755,0.845,0.975,1.1475,1.2725,1.44,2.7575,3.395,5.3725,7.6025,11.3075,11.7275,12.17,2.24,2.475,2.72,3.075,3.4925,3.9275,4.4625,32.3,150.2,283.9,449.4,944.1,1498.3,2087.2
2010-01-14,2.5527,2.5382,2.5665,2.5479,9.855,10.208,10.983,11.42,13.052,14.2675,15.233,1.65,1.9075,2.9925,4.175,5.9725,6.1375,6.405,0.725,0.785,0.865,0.995,1.185,1.3075,1.48,2.8875,3.51,5.5425,7.8875,11.53,11.9025,12.3,2.4,2.57,2.785,3.14,3.6225,4.0625,4.605,35.05,155.7,303.85,452.9,954.5,1510.65,2101.5
2010-01-15,2.5442,2.5304,2.5507,2.537,9.04,9.945,10.875,11.33,13,14.2375,15.212,1.65,1.8625,2.955,4.175,5.8375,6.0725,6.405,0.725,0.755,0.8275,0.9575,1.125,1.2725,1.46,2.8875,3.43,5.4725,7.8875,11.2725,11.7725,12.3,2.4,2.475,2.66,3.0125,3.425,3.9275,4.535,31.85,154.4,301.25,452,945.65,1494.05,2075.75
2010-01-18,2.5325,2.5312,2.554,2.5483,9.055,10.015,10.915,11.37,12.998,14.2775,15.275,1.65,1.88,2.9575,4.175,5.8375,6.075,6.405,0.715,0.66,0.78,0.9475,1.1075,1.2525,1.435,2.8875,3.46,5.4775,7.89,11.275,11.7725,12.2975,2.325,2.085,2.42,2.935,3.31,3.8075,4.3725,32.1,154.45,301.65,452.55,945.85,1493.1,2076.9
2010-01-19,2.5298,2.5203,2.5438,2.5279,9.375,10.16,10.88,11.3,12.94,14.0375,15.087,1.17,1.5925,2.6825,3.96,5.7075,5.94,6.2675,0.725,0.655,0.775,0.9425,1.1,1.2425,1.4225,2.0475,2.935,4.9675,7.4775,11.015,11.515,12.0325,2.32,2.085,2.415,2.93,3.3025,3.7975,4.36,31.85,146.25,292.1,450.75,953.05,1502.75,2085.25
2010-01-20,2.5235,2.5176,2.5347,2.5314,9.97,10.33,10.935,11.365,12.958,14.055,15.105,1.2825,1.5675,2.675,3.815,5.6625,5.845,6.1175,0.725,0.655,0.775,0.94,1.1,1.2375,1.4125,2.2425,2.89,4.9525,7.2075,10.93,11.33,11.745,2.32,2.085,2.415,2.925,3.3025,3.7925,4.35,29.95,132.9,277.9,434.5,944.1,1489.65,2064.85
2010-01-21,2.543,2.5089,2.548,2.5151,10.71,11.03,11.39,11.81,13.212,14.2475,15.255,1.395,1.7775,2.875,3.9325,5.8425,6.04,6.325,0.63,0.66,0.76,0.8875,1.0625,1.1875,1.3725,2.4425,3.275,5.3275,7.4275,11.2725,11.6975,12.1425,2.015,1.915,2.205,2.57,2.9625,3.3675,3.99,34.05,149.4,297.2,444.85,959.5,1496.85,2074.6
2010-01-22,2.5796,2.5289,2.5861,2.5501,12.065,11.9,12.425,13.233,13.677,14.6175,15.585,1.395,1.36,2.865,3.765,5.7475,6.045,6.1875,0.66,0.685,0.765,0.8925,1.065,1.195,1.37,2.4325,2.5025,5.3075,7.11,11.09,11.7075,11.88,2.11,1.995,2.2075,2.5725,2.965,3.375,3.985,34.25,154.35,304.35,442.75,964.45,1516.1,2094.55
2010-01-25,2.5771,2.5558,2.5861,2.5827,11.945,11.865,12.37,13.193,13.587,14.5525,15.532,1.305,1.32,2.775,3.73,5.7375,6.04,6.1875,0.66,0.685,0.7625,0.8925,1.0625,1.1925,1.37,2.2825,2.4275,5.1375,7.045,11.07,11.6975,11.88,2.1075,1.995,2.205,2.5725,2.9625,3.3725,3.985,34.3,147.6,304.75,444.95,969,1523.8,2101.8
