Fecha,"EURMXN Curncy PX_LAST","EURMXN Curncy PX_LOW","EURMXN Curncy PX_HIGH","EURMXN Curncy PX_OPEN","EURMXNV1W Curncy PX_LAST","EURMXNV1M Curncy PX_LAST","EURMXNV2M Curncy PX_LAST","EURMXNV3M Curncy PX_LAST","EURMXNV6M Curncy PX_LAST","EURMXNV9M Curncy PX_LAST","EURMXNV1Y Curncy PX_LAST","EURMXN25R1W Curncy PX_LAST","EURMXN25R1M Curncy PX_LAST","EURMXN25R2M Curncy PX_LAST","EURMXN25R3M Curncy PX_LAST","EURMXN25R6M Curncy PX_LAST","EURMXN25R9M Curncy PX_LAST","EURMXN25R1Y Curncy PX_LAST","EURMXN25B1W Curncy PX_LAST","EURMXN25B1M Curncy PX_LAST","EURMXN25B2M Curncy PX_LAST","EURMXN25B3M Curncy PX_LAST","EURMXN25B6M Curncy PX_LAST","EURMXN25B9M Curncy PX_LAST","EURMXN25B1Y Curncy PX_LAST","EURMXN10R1W Curncy PX_LAST","EURMXN10R1M Curncy PX_LAST","EURMXN10R2M Curncy PX_LAST","EURMXN10R3M Curncy PX_LAST","EURMXN10R6M Curncy PX_LAST","EURMXN10R9M Curncy PX_LAST","EURMXN10R1Y Curncy PX_LAST","EURMXN10B1W Curncy PX_LAST","EURMXN10B1M Curncy PX_LAST","EURMXN10B2M Curncy PX_LAST","EURMXN10B3M Curncy PX_LAST","EURMXN10B6M Curncy PX_LAST","EURMXN10B9M Curncy PX_LAST","EURMXN10B1Y Curncy PX_LAST","EURMXN1W Curncy PX_LAST","EURMXN1M Curncy PX_LAST","EURMXN2M Curncy PX_LAST","EURMXN3M Curncy PX_LAST","EURMXN6M Curncy PX_LAST","EURMXN9M Curncy PX_LAST","EURMXN12M Curncy PX_LAST"
2010-01-01,18.7417,18.7082,18.8183,18.7471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122.7649,643.8929,1260.3129,1978.8531,4022.9668,6384.4988,8932.2433
2010-01-04,18.5565,18.5428,18.7535,18.734,10.485,11.895,12.608,13.185,14.212,14.8475,15.368,2.04,2.8725,4.02,5.075,5.7125,5.86,6.25,0.68,0.86,0.9625,1.035,1.1925,1.2925,1.45,3.57,5.2875,7.445,9.41,10.635,10.965,11.5625,3.03,3.1,3.4225,3.615,4.0975,4.46,4.895,124.383,669.6948,1264.9195,1935.6058,4015.4355,6247.3269,8745.6046
2010-01-05,18.4032,18.3931,18.6452,18.5566,11.477,11.955,12.523,12.97,13.772,14.5275,15.12,0.36,2.2975,3.56,4.785,5.3625,5.595,6.0625,0.72,0.83,0.9425,1.015,1.14,1.2525,1.41,0.63,4.2325,6.5925,8.87,9.985,10.465,11.215,3.22,3.01,3.3675,3.57,3.9575,4.345,4.8,121.6762,602.3762,1163.2249,1866.2928,3926.445,6229.9793,8678.8038
2010-01-06,18.3526,18.3011,18.4225,18.4025,10.63,11.445,11.872,12.382,13.663,14.3775,14.955,0.3,2.3125,3.495,4.735,5.3325,5.5375,5.78,0.655,0.795,0.875,0.95,1.1125,1.2225,1.365,0.525,4.2525,6.475,8.7825,9.93,10.36,10.69,2.9475,2.87,3.1275,3.335,3.8525,4.2375,4.665,87.9854,549.4296,1113.1456,1795.6627,3798.4677,5962.6589,8396.2627
2010-01-07,18.2932,18.2443,18.4068,18.3521,10.965,11.485,11.887,12.387,13.653,14.33,14.885,0.3,2.33,3.44,4.55,5.1475,5.365,5.6875,0.675,0.795,0.875,0.9475,1.1075,1.2075,1.355,0.525,4.2875,6.37,8.4325,9.585,10.035,10.52,3.035,2.88,3.1325,3.335,3.8475,4.2125,4.635,126.997,554.9533,1100.6497,1812.1623,3784.8208,5916.0964,8292.5537
2010-01-08,18.2971,18.1823,18.3397,18.2932,10.07,10.94,11.49,11.967,13.103,13.8275,14.415,0.3,2.33,3.44,4.55,5.15,5.365,5.6875,0.6,0.75,0.8425,0.91,1.0525,1.1625,1.305,0.525,4.2875,6.37,8.4325,9.5825,10.0375,10.5225,2.7,2.7125,3.0125,3.195,3.655,4.0375,4.4625,119.1381,565.497,1130.1321,1817.0617,3784.872,5865.5066,8214.1064
2010-01-11,18.4903,18.2276,18.565,18.3173,10.535,10.99,11.503,11.81,12.913,13.5575,14.092,0.84,2.2275,3.3775,4.43,5.15,5.37,5.6875,0.665,0.735,0.8325,0.9,1.0425,1.1425,1.28,1.47,4.1025,6.255,8.21,9.5825,10.0375,10.5225,2.975,2.65,2.9775,3.1675,3.6175,3.9675,4.3725,126.5791,642.0793,1214.6798,1852.9161,3866.7368,5936.2722,8243.0732
2010-01-12,18.5825,18.4245,18.587,18.4902,11.205,11.443,11.94,12.205,13.003,13.6025,14.11,0.84,2.2275,3.3775,4.43,5.15,5.37,5.6875,0.68,0.745,0.8375,0.9,1.0425,1.1425,1.2775,1.47,4.1025,6.255,8.2075,9.5825,10.0375,10.5225,3.035,2.6875,2.9825,3.16,3.6125,3.96,4.36,129.8075,651.2525,1225.7545,1868.7745,3879.8977,5952.6296,8346.9365
2010-01-13,18.4368,18.4318,18.6047,18.5666,11.27,11.525,12.033,12.448,12.955,13.54,14.04,0.84,2.2275,3.3775,4.43,5.15,5.37,5.6875,0.66,0.74,0.835,0.905,1.0275,1.1325,1.27,1.47,4.1025,6.255,8.2075,9.5825,10.0375,10.5225,2.95,2.68,2.98,3.1725,3.555,3.9225,4.335,131.0763,635.5627,1212.3935,1898.8376,3965.0762,6036.321,8529.0635
2010-01-14,18.3728,18.3649,18.5378,18.4368,10.485,11.01,11.517,11.92,12.733,13.185,13.602,0.84,2.2275,3.07,4.43,5.15,5.37,5.6875,0.605,0.705,0.7875,0.86,1.0125,1.1025,1.2275,1.47,4.1025,5.685,8.2,9.5775,10.035,10.5225,2.7025,2.545,2.815,3.0125,3.5075,3.8125,4.175,135.5542,632.0805,1206.9025,1897.3799,4010.9766,6116.8601,8623.3467
