Fecha,"EURUSD Curncy PX_LAST","EURUSD Curncy PX_LOW","EURUSD Curncy PX_HIGH","EURUSD Curncy PX_OPEN","EURUSDV1W Curncy PX_LAST","EURUSDV1M Curncy PX_LAST","EURUSDV2M Curncy PX_LAST","EURUSDV3M Curncy PX_LAST","EURUSDV6M Curncy PX_LAST","EURUSDV9M Curncy PX_LAST","EURUSDV1Y Curncy PX_LAST","EURUSD25R1W Curncy PX_LAST","EURUSD25R1M Curncy PX_LAST","EURUSD25R2M Curncy PX_LAST","EURUSD25R3M Curncy PX_LAST","EURUSD25R6M Curncy PX_LAST","EURUSD25R9M Curncy PX_LAST","EURUSD25R1Y Curncy PX_LAST","EURUSD25B1W Curncy PX_LAST","EURUSD25B1M Curncy PX_LAST","EURUSD25B2M Curncy PX_LAST","EURUSD25B3M Curncy PX_LAST","EURUSD25B6M Curncy PX_LAST","EURUSD25B9M Curncy PX_LAST","EURUSD25B1Y Curncy PX_LAST","EURUSD10R1W Curncy PX_LAST","EURUSD10R1M Curncy PX_LAST","EURUSD10R2M Curncy PX_LAST","EURUSD10R3M Curncy PX_LAST","EURUSD10R6M Curncy PX_LAST","EURUSD10R9M Curncy PX_LAST","EURUSD10R1Y Curncy PX_LAST","EURUSD10B1W Curncy PX_LAST","EURUSD10B1M Curncy PX_LAST","EURUSD10B2M Curncy PX_LAST","EURUSD10B3M Curncy PX_LAST","EURUSD10B6M Curncy PX_LAST","EURUSD10B9M Curncy PX_LAST","EURUSD10B1Y Curncy PX_LAST","EUR1W Curncy PX_LAST","EUR1M Curncy PX_LAST","EUR2M Curncy PX_LAST","EUR3M Curncy PX_LAST","EUR6M Curncy PX_LAST","EUR9M Curncy PX_LAST","EUR12M Curncy PX_LAST"
2010-01-01,1.4324,1.4313,1.4355,1.4321,8.725,11.035,11.975,12.38,12.955,13.13,13.23,-0.945,-1.2875,-1.36,-1.4975,-1.615,-1.6925,-1.7675,0.25,0.3,0.4,0.52,0.63,0.665,0.69,-1.6875,-2.2475,-2.4075,-2.7025,-2.9575,-3.1075,-3.21,0.735,0.865,1.31,1.75,2.165,2.325,2.39,-0.06,-0.6,-1.65,-2.41,-6.33,-13.8,-22.5
2010-01-04,1.4413,1.4258,1.4456,1.4312,9.945,11.05,11.71,12,12.62,12.81,12.91,-0.9325,-1.2375,-1.3425,-1.42,-1.555,-1.6375,-1.6975,0.24,0.26,0.38,0.49,0.605,0.65,0.67,-1.68,-2.2725,-2.52,-2.705,-2.9925,-3.1875,-3.2875,0.77,0.81,1.24,1.625,2.07,2.275,2.3325,0.01,-0.6,-1.51,-2.57,-7.28,-17.9,-27.75
2010-01-05,1.4365,1.4346,1.4484,1.4413,9.875,10.59,11.19,11.4425,12.16,12.365,12.465,-0.8875,-1.1225,-1.255,-1.3225,-1.465,-1.5475,-1.615,0.245,0.26,0.365,0.47,0.585,0.64,0.6675,-1.585,-2.0625,-2.325,-2.46,-2.7425,-2.9225,-3.035,0.775,0.81,1.2,1.57,2.02,2.245,2.3325,-0.01,-0.65,-1.69,-2.87,-7.58,-17.7,-26.93
2010-01-06,1.4408,1.4284,1.4435,1.4365,9.7375,10.5425,11.1,11.38,11.99,12.2075,12.3475,-0.855,-1.1175,-1.23,-1.3,-1.4325,-1.5125,-1.5825,0.2725,0.2475,0.35,0.455,0.57,0.63,0.6625,-1.5125,-2.0475,-2.26,-2.3925,-2.6425,-2.825,-2.9325,0.8625,0.7975,1.165,1.54,1.995,2.23,2.3325,-0.05,-0.7,-1.97,-3.26,-8.75,-19.95,-31.1
2010-01-07,1.4308,1.4299,1.4447,1.4408,10.8425,10.6375,11.13,11.365,11.975,12.1925,12.3125,-0.8675,-1.07,-1.155,-1.235,-1.33,-1.36,-1.3975,0.2625,0.2525,0.345,0.44,0.55,0.605,0.6275,-1.51,-1.9725,-2.12,-2.285,-2.4825,-2.5825,-2.6325,0.8125,0.7675,1.09,1.3875,1.785,1.9775,2.1075,-0.14,-0.81,-2.04,-3.45,-8.75,-20.05,-29.33
2010-01-08,1.4409,1.4264,1.4439,1.4308,10.16,10.395,10.845,11.185,11.82,12,12.13,-0.8025,-0.9725,-1.0675,-1.1775,-1.3,-1.34,-1.39,0.255,0.24,0.335,0.425,0.54,0.595,0.62,-1.415,-1.86,-1.9875,-2.21,-2.4425,-2.5675,-2.635,0.8,0.82,1.085,1.3875,1.815,2.015,2.145,-0.16,-0.86,-2.05,-3.54,-8.75,-20.45,-31.45
2010-01-11,1.4513,1.4409,1.4557,1.4427,9.215,10.185,10.54,10.885,11.475,11.6625,11.7325,-0.555,-0.7125,-0.795,-0.895,-1.09,-1.1375,-1.175,0.235,0.22,0.325,0.38,0.495,0.525,0.5475,-0.99,-1.3,-1.475,-1.65,-2.04,-2.1525,-2.21,0.75,0.675,1.025,1.235,1.64,1.78,1.8675,-0.17,-0.86,-2,-3.2,-8.46,-20.38,-31.75
2010-01-12,1.4486,1.4454,1.4546,1.4513,9.145,10.145,10.38,10.68,11.36,11.575,11.68,-0.6175,-0.7175,-0.8125,-0.915,-1.0725,-1.11,-1.15,0.225,0.225,0.305,0.36,0.475,0.505,0.5275,-1.105,-1.3225,-1.5,-1.7,-2.02,-2.1025,-2.17,0.69,0.655,0.935,1.14,1.565,1.71,1.8225,-0.16,-0.63,-1.96,-3.16,-8.56,-20.45,-32.33
2010-01-13,1.451,1.4457,1.4579,1.4486,9.2025,10.075,10.2925,10.5375,11.32,11.5975,11.6875,-0.635,-0.7225,-0.8,-0.8875,-1.07,-1.11,-1.1425,0.2025,0.215,0.3125,0.35,0.475,0.4925,0.5125,-1.155,-1.295,-1.465,-1.635,-1.985,-2.06,-2.1225,0.6225,0.63,0.975,1.12,1.55,1.6175,1.6725,-0.22,-0.8,-1.9,-3,-8.13,-19.05,-29.35
2010-01-14,1.4499,1.4447,1.4556,1.451,8.91,9.84,10.1,10.33,11.04,11.285,11.435,-0.6275,-0.7425,-0.835,-0.945,-1.0925,-1.1275,-1.1625,0.205,0.21,0.285,0.3325,0.445,0.47,0.49,-1.11,-1.33,-1.525,-1.745,-2.0325,-2.1125,-2.17,0.635,0.605,0.895,1.07,1.455,1.55,1.62,-0.26,-0.9,-2,-3.3,-8.24,-18.75,-28.21
