Fecha,"USSO1Z Curncy PX_LAST","USSOA Curncy PX_LAST","USSOB Curncy PX_LAST","USSOC Curncy PX_LAST","USSOF Curncy PX_LAST","USSOI Curncy PX_LAST","USSO1 Curncy PX_LAST"
2010-01-01,0.132,0.137,0.145,0.162,0.225,0.331,0.506
2010-01-04,0.132,0.134,0.146,0.162,0.215,0.3205,0.4665
2010-01-05,0.131,0.134,0.14,0.155,0.2055,0.293,0.435
2010-01-06,0.13,0.134,0.137,0.146,0.1895,0.2795,0.415
2010-01-07,0.125,0.1325,0.135,0.145,0.192,0.285,0.4185
2010-01-08,0.127,0.13,0.137,0.143,0.185,0.2625,0.3875
2010-01-11,0.12,0.133,0.134,0.143,0.1855,0.2575,0.3735
2010-01-12,0.125,0.1285,0.1305,0.1415,0.1765,0.2455,0.3553
2010-01-13,0.122,0.136,0.136,0.147,0.188,0.267,0.392
2010-01-14,0.121,0.1255,0.13,0.143,0.1755,0.246,0.365
2010-01-15,0.137,0.13,0.133,0.138,0.173,0.239,0.348
2010-01-18,0.126,0.125,0.13,0.141,0.174,0.238,0.342
2010-01-19,0.119,0.1295,0.1325,0.1415,0.1775,0.246,0.355
2010-01-20,0.138,0.1315,0.1335,0.141,0.174,0.242,0.358
2010-01-21,0.121,0.1335,0.1375,0.143,0.1685,0.228,0.332
2010-01-22,0.1385,0.1385,0.139,0.145,0.171,0.2235,0.32
2010-01-25,0.134,0.1375,0.141,0.147,0.169,0.225,0.325
2010-01-26,0.128,0.1345,0.1395,0.144,0.174,0.231,0.33
2010-01-27,0.127,0.1335,0.145,0.1473,0.175,0.241,0.3605
2010-01-28,0.128,0.135,0.142,0.15,0.175,0.23,0.3345
2010-01-29,0.128,0.135,0.14,0.144,0.17,0.226,0.32
2010-02-01,0.1255,0.1325,0.1395,0.145,0.1765,0.2375,0.3395
2010-02-02,0.132,0.1335,0.141,0.149,0.1785,0.24,0.34
2010-02-03,0.136,0.137,0.146,0.153,0.186,0.249,0.361
2010-02-04,0.13,0.1335,0.1415,0.15,0.1775,0.234,0.325
2010-02-05,0.135,0.135,0.148,0.148,0.175,0.223,0.311
2010-02-08,0.138,0.1375,0.145,0.154,0.178,0.235,0.323
2010-02-09,0.129,0.133,0.143,0.152,0.184,0.239,0.333
