Fecha,"USDBRL Curncy PX_LAST","USDBRL Curncy PX_LOW","USDBRL Curncy PX_HIGH","USDBRL Curncy PX_OPEN","USDBRLV1W Curncy PX_LAST","USDBRLV1M Curncy PX_LAST","USDBRLV2M Curncy PX_LAST","USDBRLV3M Curncy PX_LAST","USDBRLV6M Curncy PX_LAST","USDBRLV9M Curncy PX_LAST","USDBRLV1Y Curncy PX_LAST","USDBRL25R1W Curncy PX_LAST","USDBRL25R1M Curncy PX_LAST","USDBRL25R2M Curncy PX_LAST","USDBRL25R3M Curncy PX_LAST","USDBRL25R6M Curncy PX_LAST","USDBRL25R9M Curncy PX_LAST","USDBRL25R1Y Curncy PX_LAST","USDBRL25B1W Curncy PX_LAST","USDBRL25B1M Curncy PX_LAST","USDBRL25B2M Curncy PX_LAST","USDBRL25B3M Curncy PX_LAST","USDBRL25B6M Curncy PX_LAST","USDBRL25B9M Curncy PX_LAST","USDBRL25B1Y Curncy PX_LAST","USDBRL10R1W Curncy PX_LAST","USDBRL10R1M Curncy PX_LAST","USDBRL10R2M Curncy PX_LAST","USDBRL10R3M Curncy PX_LAST","USDBRL10R6M Curncy PX_LAST","USDBRL10R9M Curncy PX_LAST","USDBRL10R1Y Curncy PX_LAST","USDBRL10B1W Curncy PX_LAST","USDBRL10B1M Curncy PX_LAST","USDBRL10B2M Curncy PX_LAST","USDBRL10B3M Curncy PX_LAST","USDBRL10B6M Curncy PX_LAST","USDBRL10B9M Curncy PX_LAST","USDBRL10B1Y Curncy PX_LAST","BCN1W Curncy PX_LAST","BCN1M Curncy PX_LAST","BCN2M Curncy PX_LAST","BCN3M Curncy PX_LAST","BCN6M Curncy PX_LAST","BCN9M Curncy PX_LAST","BCN12M Curncy PX_LAST"
2010-01-04,1.72,1.7177,1.7443,1.7439,15.125,16.038,16.608,17.15,18.03,18.485,18.978,3.8525,4.0825,4.725,5.245,6.03,6.115,6.18,0.825,0.8625,0.9625,1.075,1.23,1.305,1.3925,7.1175,7.5275,8.7125,9.7325,11.1975,11.475,11.59,2.425,2.5925,2.865,3.1325,3.55,3.8625,4.0975,24.5,111.24,220,322,664.5,1059.5,1469.5
2010-01-05,1.7306,1.7155,1.7384,1.7212,14.615,15.702,16.29,16.59,17.432,17.9875,18.532,3.7625,3.995,4.645,5.0775,5.9625,6.055,6.13,0.845,0.8625,0.9525,1.07,1.225,1.305,1.4,6.9825,7.3725,8.575,9.4225,11.0425,11.325,11.4575,2.49,2.6275,2.8675,3.125,3.5375,3.87,4.11,23.5,120.99,184.25,340.26,684.75,1086.75,1505.76
2010-01-06,1.731,1.7263,1.739,1.7298,14.43,15.368,15.962,16.39,17.257,17.765,18.378,3.6425,3.8225,4.4225,4.8825,5.7875,5.895,6.015,0.815,0.8275,0.9075,1.04,1.2075,1.2925,1.385,6.6775,6.9625,8.0675,8.99,10.6725,10.9575,11.195,2.535,2.6775,2.9125,3.185,3.5825,3.92,4.1675,22.5,111.24,202.5,361,701.5,1106.5,1509.5
2010-01-07,1.7465,1.7301,1.75,1.7301,14.575,15.395,15.905,16.44,17.24,17.78,18.28,3.725,3.655,4.315,4.7525,5.6625,5.8575,5.8575,0.92,0.875,0.96,1.125,1.19,1.26,1.325,7.235,7.2875,8.1825,9.0875,10.62,10.8725,11.04,3.015,3.16,3.42,3.605,3.955,4.19,4.37,28,102,192,255.5,695.5,1093.5,1425.5
2010-01-08,1.7264,1.7222,1.7521,1.746,14.05,14.895,15.56,16.035,16.775,17.355,17.905,3.2575,3.505,4.2325,4.6125,5.53,5.7975,5.7125,0.81,0.885,0.985,1.065,1.215,1.28,1.345,6.3,6.7275,7.9525,8.93,10.6025,10.8575,11.0475,2.595,2.76,2.99,3.245,3.625,3.895,4.15,25.5,103.99,197.5,345.5,684,1078,1473.99
2010-01-11,1.7373,1.7156,1.7388,1.7266,13.725,14.985,15.198,15.773,16.45,17.0475,17.587,3.2025,3.57,4.255,4.7325,5.57,5.7025,5.7125,0.77,0.8275,0.9175,1.015,1.1675,1.2425,1.3125,5.9575,6.6525,7.845,8.8475,10.4575,10.69,10.8425,2.385,2.5275,2.7525,3.07,3.4625,3.735,4.02,22.5,103.24,204.75,320.75,658.25,1055.26,1467.26
2010-01-12,1.7484,1.7334,1.749,1.7382,13.635,14.872,15.102,15.685,16.408,17.0725,17.645,3.37,3.58,4.15,4.7375,5.56,5.655,5.7225,0.81,0.8275,0.8475,1.085,1.09,1.17,1.2425,6.7275,7.2625,8.015,8.94,10.3175,10.525,10.66,2.6,2.9025,3.1225,3.4425,3.7475,3.98,4.2425,22.5,105.24,201.5,334.01,678.51,1080.5,1499.5
2010-01-13,1.7569,1.7342,1.7614,1.7465,13.485,14.528,15.07,15.465,16.257,16.855,17.432,3.195,3.38,3.895,4.56,5.355,5.47,5.58,0.765,0.8025,0.8575,1.04,1.14,1.23,1.3225,6.0125,6.4875,7.24,8.4575,9.9075,10.15,10.3725,2.495,2.665,2.9025,3.2375,3.5475,3.8325,4.1825,22.5,101,198,360,706.5,1104.5,1535.5
2010-01-14,1.7602,1.7496,1.7729,1.7566,14.68,14.52,15.005,15.29,16.17,16.7525,17.323,3.32,3.335,3.8825,4.565,5.29,5.395,5.52,0.8175,0.79,0.86,1.0775,1.1425,1.2325,1.325,6.385,6.3,7.285,8.4875,9.775,10.01,10.235,2.735,2.705,3.065,3.385,3.69,3.9625,4.3075,24.5,107.49,233.5,354,706.5,1104,1526.5
2010-01-15,1.7723,1.7594,1.774,1.7598,13.915,14.368,15.023,15.352,16.28,16.8925,17.44,3.1225,3.3775,3.95,4.62,5.345,5.46,5.5925,0.71,0.7675,0.8525,1.005,1.1275,1.22,1.315,5.765,6.34,7.3275,8.5625,9.97,10.24,10.5175,2.2,2.4125,2.7075,3.05,3.4125,3.7275,4.0875,22.5,106.12,210.5,358,707.5,1111.5,1538.5
2010-01-18,1.7643,1.7592,1.7776,1.7725,14.225,14.497,15.177,15.545,16.425,17.01,17.605,3.18,3.39,4.085,4.575,5.4075,5.78,5.6025,0.74,0.8675,0.9825,1.055,1.18,1.235,1.285,5.9275,6.75,7.83,9.0325,10.595,10.88,11.08,2.325,2.6575,3.0175,3.25,3.6375,3.86,4.0675,22.8,111.99,214,318.76,667.25,1069.26,1494.25
2010-01-19,1.7701,1.7637,1.7815,1.7637,13.515,13.855,14.757,14.968,15.96,16.5525,17.177,2.605,3.155,3.8125,4.475,5.225,5.39,5.4575,0.655,0.73,0.8575,0.975,1.1225,1.2025,1.285,4.75,5.865,7.0425,8.3325,9.81,10.11,10.3525,2.055,2.105,2.4525,2.775,3.2325,3.5225,3.8275,22.5,107.25,218,349,703.99,1106.5,1523.25
2010-01-20,1.7888,1.7721,1.7948,1.7721,14.05,14.14,14.88,15.123,16.033,16.6325,17.235,2.795,3.1975,3.77,4.34,5.1,5.2025,5.295,0.65,0.72,0.84,0.9625,1.125,1.2025,1.2825,5.0875,5.8775,6.925,8,9.4825,9.725,9.9125,2.155,2.06,2.385,2.72,3.1875,3.4725,3.79,21.5,105.99,198.25,362.25,737.25,1142.25,1562.25
2010-01-21,1.803,1.7826,1.8086,1.7883,15.045,15.017,15.222,15.425,16.25,16.7925,17.397,2.98,3.37,3.865,4.405,5.1825,5.35,5.3825,0.68,0.73,0.8425,0.955,1.09,1.1775,1.25,5.61,6.4075,7.37,8.3975,9.945,10.195,10.3675,2.25,2.1675,2.5025,2.785,3.2275,3.4875,3.8025,24.5,107.25,207.5,360,739,1138,1562
2010-01-22,1.8247,1.788,1.8325,1.8025,16.365,15.915,16.015,16.077,16.513,17.0425,17.597,3.125,3.4025,4,4.38,5.2225,5.3475,5.43,0.71,0.73,0.83,0.975,1.0975,1.1875,1.2875,5.8675,6.385,7.465,8.155,9.775,10.0075,10.1875,2.33,2.295,2.535,2.8275,3.2325,3.5075,3.8725,24.5,114,216.25,319.5,707.5,1116.5,1551.5
