Fecha,"USDCLP Curncy PX_LAST","USDCLP Curncy PX_LOW","USDCLP Curncy PX_HIGH","USDCLP Curncy PX_OPEN","USDCLPV1W Curncy PX_LAST","USDCLPV1M Curncy PX_LAST","USDCLPV2M Curncy PX_LAST","USDCLPV3M Curncy PX_LAST","USDCLPV6M Curncy PX_LAST","USDCLPV9M Curncy PX_LAST","USDCLPV1Y Curncy PX_LAST","USDCLP25R1W Curncy PX_LAST","USDCLP25R1M Curncy PX_LAST","USDCLP25R2M Curncy PX_LAST","USDCLP25R3M Curncy PX_LAST","USDCLP25R6M Curncy PX_LAST","USDCLP25R9M Curncy PX_LAST","USDCLP25R1Y Curncy PX_LAST","USDCLP25B1W Curncy PX_LAST","USDCLP25B1M Curncy PX_LAST","USDCLP25B2M Curncy PX_LAST","USDCLP25B3M Curncy PX_LAST","USDCLP25B6M Curncy PX_LAST","USDCLP25B9M Curncy PX_LAST","USDCLP25B1Y Curncy PX_LAST","USDCLP10R1W Curncy PX_LAST","USDCLP10R1M Curncy PX_LAST","USDCLP10R2M Curncy PX_LAST","USDCLP10R3M Curncy PX_LAST","USDCLP10R6M Curncy PX_LAST","USDCLP10R9M Curncy PX_LAST","USDCLP10R1Y Curncy PX_LAST","USDCLP10B1W Curncy PX_LAST","USDCLP10B1M Curncy PX_LAST","USDCLP10B2M Curncy PX_LAST","USDCLP10B3M Curncy PX_LAST","USDCLP10B6M Curncy PX_LAST","USDCLP10B9M Curncy PX_LAST","USDCLP10B1Y Curncy PX_LAST","CHN1W Curncy PX_LAST","CHN1M Curncy PX_LAST","CHN2M Curncy PX_LAST","CHN3M Curncy PX_LAST","CHN6M Curncy PX_LAST","CHN9M Curncy PX_LAST","CHN12M Curncy PX_LAST"
2010-01-04,505.8,504.77,506.59,505.9,13.03,13.77,13.9,13.97,13.95,14.11,14.22,2.97,3.205,3.3925,3.735,4.16,4.43,4.545,0.63,0.72,0.7475,0.78,0.88,0.9425,1.0075,5.1725,5.7375,6.0975,6.7075,7.505,7.96,8.16,2.145,2.1775,2.2175,2.255,2.455,2.6425,2.835,-0.17,-0.76,-1.52,-1.9,-4.19,-4.85,-4.7
2010-01-05,501.9,501.75,506.25,506.25,12.975,13.39,13.65,13.71,13.85,14.02,14.13,2.9775,3.035,3.3425,3.7825,4.165,4.475,4.5825,0.635,0.7275,0.7625,0.795,0.89,0.945,1.0075,5.1825,5.3675,5.9325,6.6975,7.415,7.9575,8.1325,2.11,2.1825,2.2175,2.245,2.43,2.6075,2.785,-0.18,-0.75,-1.75,-2.6,-4.54,-5.2,-5.75
2010-01-06,496.5,495.62,503.15,502.4,12.955,13.18,13.48,13.59,13.78,13.98,14.11,3.0025,3.035,3.345,3.785,4.165,4.48,4.5875,0.6325,0.7275,0.7625,0.795,0.8875,0.945,1.005,5.2075,5.3725,5.9375,6.705,7.415,7.96,8.135,2.105,2.1775,2.2125,2.2425,2.4275,2.605,2.78,-0.18,-0.91,-1.9,-2.76,-4.67,-5.33,-5.75
2010-01-07,492.85,492.25,497.55,494.85,12.79,13,13.42,13.56,13.73,13.91,14.02,3.015,3.04,3.345,3.79,4.16,4.49,4.595,0.63,0.7275,0.7625,0.795,0.885,0.94,1,5.22,5.3775,5.9275,6.7,7.4,7.9625,8.135,2.09,2.1775,2.2125,2.24,2.425,2.5975,2.77,-0.21,-1.07,-1.75,-2.6,-4.77,-5.45,-5.75
2010-01-08,493.45,490.9,494.2,491.62,11.93,12.89,13.27,13.46,13.67,13.91,14.07,3,3.025,3.3325,3.7925,4.1625,4.5075,4.6125,0.64,0.7475,0.7775,0.81,0.9025,0.955,1.015,5.18,5.3275,5.875,6.675,7.36,7.96,8.125,2.115,2.2025,2.2275,2.2525,2.4325,2.6,2.765,-0.23,-1,-2.1,-2.75,-4.53,-5.45,-5.75
2010-01-11,489.55,488.55,493.5,493.5,12.455,13.14,13.43,13.58,13.71,13.88,13.98,2.9575,3.01,3.345,3.77,4.185,4.46,4.5725,0.635,0.7175,0.7525,0.79,0.89,0.9525,1.02,5.1575,5.3675,5.9725,6.72,7.48,7.9625,8.15,2.145,2.1825,2.2125,2.245,2.445,2.6325,2.82,-0.14,-0.72,-1.6,-2.25,-4.1,-5.1,-5.1
2010-01-12,489.75,489.31,492.55,490.25,12.23,13.22,13.43,13.73,13.94,14.14,14.24,2.6775,2.6125,2.93,3.3875,3.7425,4.015,4.16,0.64,0.6775,0.695,0.76,0.875,0.9575,1.02,4.85,4.7025,5.2825,6.1075,6.78,7.2925,7.545,2.16,2.1425,2.1525,2.32,2.635,2.9825,3.205,-0.15,-0.41,-1.42,-2.25,-3.76,-5.05,-5.01
2010-01-13,493.75,487.86,494.35,490.4,12.63,13.2,13.38,13.59,13.79,13.97,14.07,2.7875,2.775,3.1025,3.55,3.93,4.1975,4.33,0.64,0.695,0.72,0.775,0.8825,0.96,1.025,4.9675,4.9775,5.58,6.375,7.08,7.5725,7.8,2.165,2.16,2.18,2.29,2.555,2.8375,3.05,-0.15,-0.52,-1.6,-2.25,-3.79,-4.43,-5.1
2010-01-14,493.45,492.35,494.55,493.75,12.4275,13.18,13.39,13.59,13.78,13.96,14.07,2.88,2.8625,3.1725,3.615,3.985,4.2775,4.4025,0.625,0.695,0.72,0.77,0.8675,0.935,0.9975,5.0825,5.1125,5.68,6.4625,7.14,7.6725,7.8875,2.105,2.145,2.17,2.27,2.5075,2.76,2.96,-0.05,-0.31,-0.87,-2.25,-3.37,-4.2,-5.1
2010-01-15,489,488.75,495.45,494.75,12.745,13.08,13.23,13.5,13.77,13.95,14.06,2.85,2.85,3.17,3.635,4.005,4.315,4.435,0.65,0.7225,0.7525,0.7975,0.9,0.9675,1.03,5.02,5.0625,5.6425,6.4575,7.1475,7.6975,7.9,2.155,2.1925,2.2075,2.2825,2.5175,2.755,2.95,-0.08,-0.23,-0.65,-1.5,-3.06,-4.2,-4.25
