Fecha,"USDCOP Curncy PX_LAST","USDCOP Curncy PX_LOW","USDCOP Curncy PX_HIGH","USDCOP Curncy PX_OPEN","USDCOPV1W Curncy PX_LAST","USDCOPV1M Curncy PX_LAST","USDCOPV2M Curncy PX_LAST","USDCOPV3M Curncy PX_LAST","USDCOPV6M Curncy PX_LAST","USDCOPV9M Curncy PX_LAST","USDCOPV1Y Curncy PX_LAST","USDCOP25R1W Curncy PX_LAST","USDCOP25R1M Curncy PX_LAST","USDCOP25R2M Curncy PX_LAST","USDCOP25R3M Curncy PX_LAST","USDCOP25R6M Curncy PX_LAST","USDCOP25R9M Curncy PX_LAST","USDCOP25R1Y Curncy PX_LAST","USDCOP25B1W Curncy PX_LAST","USDCOP25B1M Curncy PX_LAST","USDCOP25B2M Curncy PX_LAST","USDCOP25B3M Curncy PX_LAST","USDCOP25B6M Curncy PX_LAST","USDCOP25B9M Curncy PX_LAST","USDCOP25B1Y Curncy PX_LAST","USDCOP10R1W Curncy PX_LAST","USDCOP10R1M Curncy PX_LAST","USDCOP10R2M Curncy PX_LAST","USDCOP10R3M Curncy PX_LAST","USDCOP10R6M Curncy PX_LAST","USDCOP10R9M Curncy PX_LAST","USDCOP10R1Y Curncy PX_LAST","USDCOP10B1W Curncy PX_LAST","USDCOP10B1M Curncy PX_LAST","USDCOP10B2M Curncy PX_LAST","USDCOP10B3M Curncy PX_LAST","USDCOP10B6M Curncy PX_LAST","USDCOP10B9M Curncy PX_LAST","USDCOP10B1Y Curncy PX_LAST","COP1W Curncy PX_LAST","COP1M Curncy PX_LAST","COP2M Curncy PX_LAST","COP3M Curncy PX_LAST","COP6M Curncy PX_LAST","COP9M Curncy PX_LAST","COP12M Curncy PX_LAST"
2010-01-04,2011.65,2007.8,2033.03,2030.8,17.1275,18.6975,19.385,19.72,20.035,20.3175,20.49,3.9925,3.9975,4.7175,5.22,5.4875,5.6825,5.9925,0.88,0.9425,1.1125,1.2375,1.415,1.535,1.6775,7.2175,7.24,8.515,9.405,9.8675,10.3025,10.74,4.1725,2.7025,2.88,3.3175,3.765,3.9325,4.11,0,0.05,5.25,9,29.5,48,70
2010-01-05,1988.73,1986.4,2009.2,2009.2,17.4975,18.1425,18.8925,19.45,20.03,20.4075,20.67,3.8625,3.88,4.5675,5.1275,5.5525,5.76,6,1.0425,1.0825,1.1725,1.245,1.345,1.415,1.495,8.1725,8.3025,8.9925,9.8275,10.1775,10.7075,11.245,3.6525,2.8125,2.9575,3.715,3.96,3.98,4,0,0.25,5.5,9,29.5,48,71.5
2010-01-06,1972.12,1965.58,1974.03,1974,17.03,17.13,17.985,18.72,19.695,20.1075,20.395,3.9875,4,4.6325,5.135,5.4925,5.7325,6,0.8925,0.93,1,1.045,1.125,1.2025,1.395,7.905,8.2125,8.97,9.8075,10.16,10.69,11.225,3.525,2.805,2.96,3.725,4,4.0275,4.01,0,0.25,5,9,29.5,48,75
2010-01-07,1968.62,1964.83,1978.1,1974,17.105,17.23,18.08,18.61,19.03,19.5025,19.86,3.465,3.645,4.14,4.64,5.1375,5.4475,5.8075,1.0325,1.135,1.125,1.12,1.15,1.1975,1.37,8.0475,8.575,8.81,10.8125,9.745,10.1025,11.415,2.6875,2.515,0.49,3.92,4.19,3.7725,4.36,0,0.25,5,9,29.5,48,75
2010-01-08,1966.75,1963.5,1973.9,1969.33,16.7775,17.11,17.9125,18.495,19.195,19.5325,19.81,3.6075,3.46,3.91,4.425,5.0175,5.325,5.7075,0.9875,0.98,1.0175,1.11,1.15,1.1925,1.305,8.2575,8.365,8.475,8.9925,9.7375,9.8725,10.2125,3.8975,3.395,3.5975,4.135,4.105,3.8825,4.24,-0.21,-0.05,4.5,8,28.5,47,74
2010-01-11,1964.5,1964.5,1965.5,1964.5,16.8825,17.19,17.9225,18.515,19.11,19.4375,19.695,3.6325,3.46,3.965,4.445,5.025,5.33,5.7025,0.9675,0.965,1.0025,1.105,1.16,1.2125,1.35,8.125,8.145,8.365,8.9175,9.6925,9.845,10.1875,4.1075,3.335,3.5425,4.06,4.08,3.9,4.24,-0.21,0.5,4,8,28.5,47,74
2010-01-12,1960.68,1955.55,1963,1963,16.78,16.94,17.6025,18.025,18.825,19.2875,19.66,3.72,3.495,3.9575,4.5175,5.0925,5.3925,5.75,0.9425,0.965,1.0025,1.09,1.13,1.1725,1.285,8.0625,8.395,8.5675,9.1325,9.84,10.05,10.43,3.865,3.295,3.485,4.085,4.1,3.9125,4.175,0,-0.5,4.5,9,29.5,46.5,75
2010-01-13,1972.2,1954.65,1975.35,1956.05,16.5725,16.6,17.265,17.795,18.575,19.075,19.45,3.4325,3.265,3.7525,4.1775,4.605,5.2575,5.4375,0.9225,0.9,0.9675,1.03,1.09,1.2025,1.305,8.0175,8.4525,8.4275,8.8825,9.6875,9.59,10.005,4.1375,3.505,3.7325,4.19,4.125,3.915,4.3,0.11,-1,5,9.5,31.5,52.5,78.5
2010-01-14,1971.43,1968.55,1981,1981,15.545,16.51,17.12,17.75,18.435,19.0125,19.375,3.44,3.27,3.765,4.19,4.6175,5.2575,5.44,0.9225,0.895,0.975,1.03,1.105,1.2175,1.35,7.9325,8.2575,8.605,8.8125,9.65,9.55,9.97,4.3175,3.455,3.555,4.115,4.09,3.9125,4.305,0,0.07,4.98,8.63,28.3,53,79
2010-01-15,1969.63,1963.63,1977.2,1975.95,15.5775,16.235,16.78,17.38,18.1175,18.7625,19.185,3.42,3.2825,3.7875,4.2225,4.655,5.2725,5.46,0.91,0.89,0.975,1.025,1.105,1.22,1.3575,7.825,8.1875,8.5875,8.8175,9.6525,9.5825,10.0075,4.465,3.415,3.515,4.085,4.0825,3.9225,4.295,0.32,1.5,7,10.5,30,47.75,79.5
