Fecha,"USDMXN Curncy PX_LAST","USDMXN Curncy PX_LOW","USDMXN Curncy PX_HIGH","USDMXN Curncy PX_OPEN","USDMXNV1W Curncy PX_LAST","USDMXNV1M Curncy PX_LAST","USDMXNV2M Curncy PX_LAST","USDMXNV3M Curncy PX_LAST","USDMXNV6M Curncy PX_LAST","USDMXNV9M Curncy PX_LAST","USDMXNV1Y Curncy PX_LAST","USDMXN25R1W Curncy PX_LAST","USDMXN25R1M Curncy PX_LAST","USDMXN25R2M Curncy PX_LAST","USDMXN25R3M Curncy PX_LAST","USDMXN25R6M Curncy PX_LAST","USDMXN25R9M Curncy PX_LAST","USDMXN25R1Y Curncy PX_LAST","USDMXN25B1W Curncy PX_LAST","USDMXN25B1M Curncy PX_LAST","USDMXN25B2M Curncy PX_LAST","USDMXN25B3M Curncy PX_LAST","USDMXN25B6M Curncy PX_LAST","USDMXN25B9M Curncy PX_LAST","USDMXN25B1Y Curncy PX_LAST","USDMXN10R1W Curncy PX_LAST","USDMXN10R1M Curncy PX_LAST","USDMXN10R2M Curncy PX_LAST","USDMXN10R3M Curncy PX_LAST","USDMXN10R6M Curncy PX_LAST","USDMXN10R9M Curncy PX_LAST","USDMXN10R1Y Curncy PX_LAST","USDMXN10B1W Curncy PX_LAST","USDMXN10B1M Curncy PX_LAST","USDMXN10B2M Curncy PX_LAST","USDMXN10B3M Curncy PX_LAST","USDMXN10B6M Curncy PX_LAST","USDMXN10B9M Curncy PX_LAST","USDMXN10B1Y Curncy PX_LAST","MXN1W Curncy PX_LAST","MXN1M Curncy PX_LAST","MXN2M Curncy PX_LAST","MXN3M Curncy PX_LAST","MXN6M Curncy PX_LAST","MXN9M Curncy PX_LAST","MXN12M Curncy PX_LAST"
2010-01-01,13.1013,13.0824,13.1034,13.0908,12.32,15.11,15.26,15.505,15.865,16.43,16.72,2.2125,2.695,3.5575,4.275,4.765,4.8875,4.965,0.705,0.84,0.935,1.04,1.175,1.24,1.31,4.1475,5.3475,6.915,8.1375,8.9875,9.2475,9.4425,2.74,2.8,2.92,3.02,3.36,3.595,3.825,86.25,NULL,895,1387.5,2867.5,NULL,NULL
2010-01-04,12.8752,12.8643,13.094,13.0834,13.925,15.02,15.167,15.375,15.78,16.3775,16.76,2.1575,2.605,3.5125,4.275,4.75,4.84,4.8775,0.78,0.835,0.9775,1.1025,1.22,1.2625,1.31,4.535,5.72,7.2325,8.2325,9.07,9.1525,9.28,3.08,3.11,3.3625,3.4975,3.85,4.0125,4.19,95,470,891.25,1366.25,2852.5,4500,6327.5
2010-01-05,12.8112,12.7719,12.8937,12.8754,14.115,14.5,14.84,15.07,15.34,15.9325,16.39,1.4525,2.11,3.0075,4.0375,4.3825,4.5675,4.765,0.725,0.825,0.93,1.045,1.16,1.235,1.3275,2.8875,4.3975,6.0025,7.8225,8.4875,8.8575,9.2775,2.915,2.855,3.055,3.16,3.52,3.755,4.0225,84.75,425,825,1325,2802.5,4500,6293.75
2010-01-06,12.737,12.7185,12.847,12.8107,13.415,13.84,14.095,14.335,14.985,15.6,16.06,1.2825,1.995,2.7825,3.625,4.0825,4.29,4.475,0.695,0.81,0.89,0.98,1.1225,1.2025,1.2975,2.5075,4.185,5.6175,7.1475,7.9875,8.4025,8.8175,2.815,2.79,2.95,3.085,3.475,3.73,4.0275,61.5,387.5,790,1275,2715,4320,6115
2010-01-07,12.7854,12.7269,12.8097,12.737,13.52,13.805,14.04,14.27,14.985,15.5825,16.042,1.5575,1.935,2.755,3.69,4.135,4.3575,4.5775,0.71,0.805,0.885,0.99,1.095,1.1575,1.235,3.02,3.955,5.4625,7.1575,7.9825,8.3975,8.8425,2.79,2.77,2.9,3,3.375,3.6,3.8625,90,395,787.5,1297.5,2725,4320,6070
2010-01-08,12.697,12.6804,12.8086,12.7851,12.65,13.32,13.575,13.795,14.375,15.125,15.597,1.48,1.8775,2.7825,3.73,4.115,4.29,4.4825,0.71,0.81,0.89,0.98,1.08,1.14,1.2225,2.8975,4.04,5.6525,7.3275,8.06,8.4,8.8225,2.8125,2.83,2.965,3.05,3.395,3.625,3.8975,84,400,802.5,1292.5,2705,4256.25,5990
2010-01-11,12.7399,12.5736,12.7862,12.6906,13.36,13.035,13.355,13.58,14.03,14.785,15.243,1.2225,1.845,2.76,3.7,4.135,4.3175,4.5225,0.7,0.79,0.875,0.9625,1.0625,1.13,1.2125,2.435,3.825,5.4975,7.2175,8.035,8.42,8.8625,2.865,2.755,2.925,3.02,3.37,3.61,3.89,88.75,450,855,1305,2740,4275,5971.25
2010-01-12,12.8176,12.6902,12.8261,12.7399,13.215,13.045,13.343,13.635,13.96,14.6725,15.087,1.2175,1.825,2.7425,3.6675,4.0775,4.235,4.41,0.725,0.795,0.8775,0.96,1.0625,1.1275,1.2125,2.41,4.0875,5.715,7.3125,8.0725,8.37,8.7925,2.95,2.805,2.96,3.055,3.405,3.6475,3.9225,91,455,860,1317.5,2755,4295,6060.44
2010-01-13,12.7054,12.7013,12.8212,12.8175,12.745,12.96,13.205,13.48,13.955,14.6,14.985,0.98,1.835,2.75,3.7,4.145,4.3475,4.5525,0.71,0.78,0.865,0.95,1.05,1.12,1.2025,1.9275,3.785,5.4825,7.2275,8.07,8.49,8.935,2.89,2.715,2.89,2.985,3.3075,3.5575,3.8325,92.25,445,852.5,1335,2805,4332.5,6147.24
2010-01-14,12.6718,12.6629,12.7778,12.7054,12.09,12.495,12.695,12.96,13.538,14.09,14.47,1.12,1.6725,2.58,3.6,4.125,4.3175,4.5,0.675,0.745,0.8275,0.925,1.06,1.1175,1.1875,2.1925,3.505,5.17,7.0125,7.99,8.3575,8.755,2.74,2.595,2.82,2.915,3.245,3.445,3.725,95.75,443.75,850,1337.5,2840,4387.5,6205.16
2010-01-15,12.6968,12.656,12.7374,12.6719,11.985,12.285,12.53,12.745,13.275,13.84,14.215,1.045,1.52,2.475,3.52,4.085,4.2825,4.47,0.67,0.72,0.8,0.895,1.025,1.095,1.175,2.0925,3.265,5.0225,6.88,7.92,8.3025,8.7125,2.715,2.59,2.82,2.915,3.2225,3.4225,3.7,99.25,475,888.75,1372.5,2887.5,4485,6261.88
