Fecha,"USDPEN Curncy PX_LAST","USDPEN Curncy PX_LOW","USDPEN Curncy PX_HIGH","USDPEN Curncy PX_OPEN","USDPENV1W Curncy PX_LAST","USDPENV1M Curncy PX_LAST","USDPENV2M Curncy PX_LAST","USDPENV3M Curncy PX_LAST","USDPENV6M Curncy PX_LAST","USDPENV9M Curncy PX_LAST","USDPENV1Y Curncy PX_LAST","USDPEN25R1W Curncy PX_LAST","USDPEN25R1M Curncy PX_LAST","USDPEN25R2M Curncy PX_LAST","USDPEN25R3M Curncy PX_LAST","USDPEN25R6M Curncy PX_LAST","USDPEN25R9M Curncy PX_LAST","USDPEN25R1Y Curncy PX_LAST","USDPEN25B1W Curncy PX_LAST","USDPEN25B1M Curncy PX_LAST","USDPEN25B2M Curncy PX_LAST","USDPEN25B3M Curncy PX_LAST","USDPEN25B6M Curncy PX_LAST","USDPEN25B9M Curncy PX_LAST","USDPEN25B1Y Curncy PX_LAST","USDPEN10R1W Curncy PX_LAST","USDPEN10R1M Curncy PX_LAST","USDPEN10R2M Curncy PX_LAST","USDPEN10R3M Curncy PX_LAST","USDPEN10R6M Curncy PX_LAST","USDPEN10R9M Curncy PX_LAST","USDPEN10R1Y Curncy PX_LAST","USDPEN10B1W Curncy PX_LAST","USDPEN10B1M Curncy PX_LAST","USDPEN10B2M Curncy PX_LAST","USDPEN10B3M Curncy PX_LAST","USDPEN10B6M Curncy PX_LAST","USDPEN10B9M Curncy PX_LAST","USDPEN10B1Y Curncy PX_LAST"
2010-01-04,2.874,2.874,2.8845,2.8835,NULL,9.085,10.0675,11.05,13.0075,13.4425,13.5875,3,2.9975,3.2475,3.4975,3.99,3.98,4,0.615,0.6125,0.64,0.67,0.7475,0.7475,0.75,5.4,5.4,5.85,6.2975,7.1975,7.1925,7.2,2.965,2.5775,2.4425,2.31,1.88,2.1225,2.46
2010-01-05,2.8745,2.8695,2.876,2.8715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-01-06,2.867,2.8654,2.8723,2.8705,NULL,9.1225,10.1275,11.135,13.1075,13.5175,13.64,3,2.9975,3.2475,3.4975,3.99,3.98,4,0.6125,0.6125,0.64,0.67,0.7475,0.7475,0.7525,5.4,5.4,5.85,6.3,7.195,7.19,7.2,2.9675,2.5775,2.4425,2.31,1.88,2.1225,2.455
2010-01-07,2.8615,2.8605,2.8728,2.8705,NULL,9.2025,10.1925,11.185,13.145,13.5475,13.6625,3,3,3.2475,3.4975,3.9925,3.98,4,0.6125,0.6125,0.64,0.67,0.7475,0.7475,0.7525,5.4,5.4,5.8475,6.2975,7.1975,7.19,7.2,2.965,2.58,2.4425,2.31,1.8775,2.1225,2.455
2010-01-08,2.852,2.8495,2.8555,2.854,7.355,8.4675,9.4475,11.255,12.385,12.565,12.67,3.0525,3,3.2475,3.4975,3.9925,3.9825,4,0.615,0.6175,0.64,0.67,0.7475,0.74,0.745,5.4,5.4,5.85,6.2975,7.1975,7.1925,7.2,2.965,2.7075,2.5825,2.31,2.0375,2.3225,2.65
2010-01-11,2.85,2.845,2.8516,2.8475,7.43,8.5375,9.5225,11.335,12.4525,12.595,12.69,3.005,3,3.2475,3.4975,3.9925,3.9825,4,0.615,0.6175,0.64,0.67,0.7475,0.74,0.745,5.4,5.4,5.85,6.3,7.1975,7.195,7.2,2.965,2.7075,2.5825,2.31,2.0375,2.32,2.65
2010-01-12,2.8485,2.8435,2.8729,2.8495,7.475,8.5625,9.5525,11.385,12.4875,12.6125,12.6975,3,3,3.2475,3.4975,3.9925,3.985,4,0.615,0.615,0.6425,0.67,0.7475,0.7425,0.745,5.4,5.4,5.85,6.2975,7.195,7.1925,7.2,2.965,2.7125,2.5825,2.31,2.035,2.325,2.655
2010-01-13,2.844,2.8416,2.848,2.844,7.46,8.6025,9.5975,11.21,12.1775,12.32,12.41,3,3,3.2475,3.4975,3.9925,3.9825,4,0.615,0.615,0.64,0.67,0.7475,0.7425,0.745,5.4,5.4,5.85,6.2975,7.195,7.1925,7.2,2.965,2.7125,2.5825,2.31,2.035,2.32,2.655
2010-01-14,2.8485,2.846,2.8501,2.8485,7.465,8.6075,9.6025,11.22,12.1875,12.3275,12.415,3,3,3.25,3.4975,3.9925,3.985,4,0.615,0.6125,0.6425,0.67,0.7475,0.7425,0.745,5.4,5.4,5.8475,6.2975,7.195,7.195,7.2,2.96,2.7125,2.5825,2.31,2.035,2.325,2.655
2010-01-15,2.8545,2.846,2.8545,2.85,7.44,8.5725,9.5725,11.13,12.1075,12.325,12.4775,3,3,3.25,3.4975,3.99,3.985,4,0.615,0.6125,0.6425,0.67,0.7475,0.7425,0.745,5.4,5.4,5.85,6.3,7.1975,7.1925,7.2,2.96,2.7125,2.5825,2.31,2.0375,2.325,2.65
